NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Crooked Creek CDP, Georgia",497,282,497,46,211,14,0,10,39,0,15,12,401,126
"Culloden city, Georgia",227,103,227,124,80,16,7,7,1,0,0,14,190,51
"Cumming city, Georgia",6027,2829,6027,327,2437,212,169,253,113,105,197,108,3991,1065
"Cusseta-Chattahoochee County unified government, Georgia",10767,7172,10767,2263,2550,158,118,160,125,138,160,163,8229,409
"Cuthbert city, Georgia",3581,1738,3581,3083,1155,142,236,126,67,105,104,108,2407,643
"Dacula city, Georgia",5644,2605,5644,1236,1871,79,43,38,78,0,43,121,4074,626
"Dahlonega city, Georgia",6556,2546,6556,428,1900,220,115,253,106,149,107,84,5231,869
"Daisy city, Georgia",150,78,150,10,58,6,8,10,4,0,6,3,97,26
"Dallas city, Georgia",13014,5925,13014,4608,4670,270,316,217,231,305,413,161,8690,1559
"Dalton city, Georgia",33458,16757,33458,2574,11461,828,936,758,727,638,704,812,17514,3693
"Damascus city, Georgia",291,155,291,196,109,23,15,20,13,0,1,5,227,53
"Danielsville city, Georgia",816,411,816,29,319,25,3,11,11,7,23,39,650,78
"Danville town, Georgia",200,98,200,84,64,17,7,3,11,3,3,3,162,53
"Darien city, Georgia",2500,1139,2500,1443,1060,59,145,76,54,203,6,29,1964,470
"Dasher town, Georgia",859,422,859,64,289,9,7,32,11,17,8,8,614,112
"Davisboro city, Georgia",1903,1650,1903,1234,168,18,4,8,12,26,16,6,1716,103
"Dawson city, Georgia",4222,1921,4222,3314,1442,212,110,118,174,100,63,59,2817,558
"Dawsonville city, Georgia",2772,1402,2772,136,948,48,12,26,38,58,19,72,1979,373
"Dearing town, Georgia",680,285,680,110,232,8,9,16,21,17,14,5,489,90
"Decatur city, Georgia",23054,9942,23054,4856,8480,642,366,219,327,316,147,138,14925,2619
"Deenwood CDP, Georgia",2588,1298,2588,303,1126,56,102,50,136,71,171,43,1811,290
"Deepstep town, Georgia",125,54,125,0,56,3,4,10,0,0,0,3,106,21
"Demorest city, Georgia",2027,973,2027,40,632,64,36,27,31,65,47,13,1585,339
"Denton city, Georgia",149,82,149,33,60,11,2,1,2,0,6,3,119,38
"De Soto city, Georgia",175,87,175,150,65,13,13,8,0,0,1,15,96,33
"Dewy Rose CDP, Georgia",129,71,129,0,58,9,10,0,0,0,0,0,44,22
"Dexter town, Georgia",643,276,643,306,220,12,9,18,25,17,41,18,436,70
"Dillard city, Georgia",372,197,372,0,175,13,46,0,25,5,8,3,292,87
"Dock Junction CDP, Georgia",8478,4224,8478,2688,3402,458,266,192,171,118,215,320,6338,1404
"Doerun city, Georgia",649,274,649,238,272,44,45,37,21,14,10,10,464,173
"Donalsonville city, Georgia",2589,1128,2589,1427,982,178,79,50,91,98,154,31,1864,624
"Dooling town, Georgia",169,97,169,55,51,6,7,2,4,4,7,0,87,21
"Doraville city, Georgia",10471,5967,10471,880,3159,155,84,128,237,172,94,215,3948,583
"Douglas city, Georgia",11556,5152,11556,5868,4121,762,334,446,263,284,111,205,7461,1518
"Douglasville city, Georgia",33210,15197,33210,21595,12501,964,731,364,617,826,546,549,23234,3009
"Druid Hills CDP, Georgia",8244,3941,8244,470,3561,182,56,34,87,23,132,38,6421,1394
"Dublin city, Georgia",15869,7129,15869,10126,5626,898,601,542,421,294,264,321,11944,2635
"Dudley city, Georgia",857,383,857,126,281,8,21,6,15,15,6,18,625,104
"Duluth city, Georgia",29239,13308,29239,7180,11152,606,383,321,504,500,627,407,17713,3145
"Dunwoody city, Georgia",49016,24231,49016,5779,20025,763,167,430,570,566,445,636,29771,6483
"Du Pont town, Georgia",173,63,173,120,74,21,6,0,18,3,3,0,145,21
"Dutch Island CDP, Georgia",1013,484,1013,0,391,7,12,0,0,0,0,13,786,339
"Eagle Grove CDP, Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Dublin city, Georgia",2725,1274,2725,1401,1010,140,60,118,86,59,18,86,1837,495
"East Ellijay city, Georgia",669,316,669,0,203,10,19,12,25,10,10,15,406,90
"East Griffin CDP, Georgia",1316,651,1316,358,497,18,19,48,43,50,39,41,942,165
"Eastman city, Georgia",5209,2614,5209,2087,1841,257,183,179,149,60,161,84,3850,886
"East Newnan CDP, Georgia",1134,652,1134,531,507,49,18,134,66,59,26,8,717,171
"East Point city, Georgia",34977,16350,34977,26458,14039,1220,880,1016,889,1064,908,842,25508,4011
"Eatonton city, Georgia",6529,2974,6529,3706,2411,316,173,131,155,219,149,223,4562,929
"Echols County consolidated government, Georgia",3994,1973,3994,143,1559,206,163,122,157,47,98,73,2960,646
"Edge Hill city, Georgia",14,4,14,0,6,0,0,2,0,0,0,0,14,5
"Edison city, Georgia",1163,502,1163,866,503,110,37,58,46,29,37,11,855,268
"Elberton city, Georgia",4383,2244,4383,1792,1713,215,184,165,43,138,133,76,3380,758
"Ellaville city, Georgia",1788,802,1788,938,656,202,40,62,37,45,21,30,1212,254
"Ellenton town, Georgia",156,77,156,52,76,19,16,6,3,2,5,4,119,42
"Ellijay city, Georgia",2918,1621,2918,49,940,97,112,79,47,41,14,12,1558,418
"Emerson city, Georgia",1685,849,1685,26,596,21,52,20,44,18,28,39,1113,263
"Empire CDP, Georgia",387,190,387,135,173,0,35,20,0,32,17,0,352,77
"Enigma town, Georgia",925,518,925,49,354,67,46,15,16,48,15,51,642,153
"Ephesus city, Georgia",316,156,316,2,146,13,10,8,7,12,12,5,270,100
"Epworth CDP, Georgia",182,85,182,0,95,0,0,11,11,0,0,16,182,130
"Eton city, Georgia",1094,561,1094,24,354,0,11,31,26,23,11,15,673,72
"Euharlee city, Georgia",4264,2117,4264,446,1391,19,59,88,46,0,82,107,3145,616
"Evans CDP, Georgia",34379,16868,34379,3679,10367,227,147,170,172,182,222,197,24272,4609
"Experiment CDP, Georgia",2853,1407,2853,1282,904,250,27,42,118,46,32,46,1826,496
